timestamp_s,pubkey,nodes_count
3,t36n5h6c7r8n6hwuu35ka96q5dyi5fc8oyy3m3pqsgdqeqdqbsqo,17
7,icb84asbsrwracracmw5u5c3o7gfbpbx6yug6bct5qxi8zu79pdo,18
10,8teugz9ojbxnf1sondi76wpsxcto6junqcr17jzd9owd8pn6ryfo,18
14,8mqh64dtr1nfiqb51psw4quhs4eb8p5goys6q3t4ix4f7mj86tey,18
17,i15xmajmhzpu1gcywim33zdz9439czgoifjtdxqwtsu3xf4r8ymy,20
21,w3wno6e9no3t8juusm5a9s3cb41cjszr7i4kf1abh698rfhowrwy,17
25,p9dyk4eqizg8dkgq1zbuyd4kj3ekqihninjiimi71os9dx19xgzy,16
28,pm1dih5pi7zc9bfqdnszaoh1k4wutdqjrpqu3rj1qpff9ni4kxgo,19
31,emt319w5um5ipit7zwsega833b6rr8ey7op8mth8tzwonip914jy,0
35,64x4qkcj1fjuf7nijihwubze7zu1ekayxbiodjr961naqniwawgy,19
39,3aa9dnbk4s9ng9qifo37mmy7p7tnf1ork53a8qyoyhud5ds4iyro,18
43,t36n5h6c7r8n6hwuu35ka96q5dyi5fc8oyy3m3pqsgdqeqdqbsqo,18
47,icb84asbsrwracracmw5u5c3o7gfbpbx6yug6bct5qxi8zu79pdo,19
50,8teugz9ojbxnf1sondi76wpsxcto6junqcr17jzd9owd8pn6ryfo,16
61,w3wno6e9no3t8juusm5a9s3cb41cjszr7i4kf1abh698rfhowrwy,14
64,p9dyk4eqizg8dkgq1zbuyd4kj3ekqihninjiimi71os9dx19xgzy,18
69,pm1dih5pi7zc9bfqdnszaoh1k4wutdqjrpqu3rj1qpff9ni4kxgo,18
74,emt319w5um5ipit7zwsega833b6rr8ey7op8mth8tzwonip914jy,19
77,64x4qkcj1fjuf7nijihwubze7zu1ekayxbiodjr961naqniwawgy,17
81,3aa9dnbk4s9ng9qifo37mmy7p7tnf1ork53a8qyoyhud5ds4iyro,16
89,icb84asbsrwracracmw5u5c3o7gfbpbx6yug6bct5qxi8zu79pdo,17
92,8teugz9ojbxnf1sondi76wpsxcto6junqcr17jzd9owd8pn6ryfo,15
99,i15xmajmhzpu1gcywim33zdz9439czgoifjtdxqwtsu3xf4r8ymy,19
103,w3wno6e9no3t8juusm5a9s3cb41cjszr7i4kf1abh698rfhowrwy,13
106,p9dyk4eqizg8dkgq1zbuyd4kj3ekqihninjiimi71os9dx19xgzy,0
109,pm1dih5pi7zc9bfqdnszaoh1k4wutdqjrpqu3rj1qpff9ni4kxgo,0
112,emt319w5um5ipit7zwsega833b6rr8ey7op8mth8tzwonip914jy,0
115,64x4qkcj1fjuf7nijihwubze7zu1ekayxbiodjr961naqniwawgy,0
